date,product,product_en,price,cups
2026-08-03,珍珠奶茶,Pearl Milk Tea,15,13
2026-08-03,杨枝甘露,Mango Pomelo Sago,22,8
2026-08-03,芝士葡萄,Cheese Grape,24,7
2026-08-03,黑糖波波,Brown Sugar Boba,18,9
2026-08-03,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,6
2026-08-03,香菜柠檬茶,Cilantro Lemon Tea,16,3
2026-08-03,手冲瑰夏,Pour-over Geisha,68,1
2026-08-04,珍珠奶茶,Pearl Milk Tea,15,14
2026-08-04,杨枝甘露,Mango Pomelo Sago,22,7
2026-08-04,芝士葡萄,Cheese Grape,24,7
2026-08-04,黑糖波波,Brown Sugar Boba,18,9
2026-08-04,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,5
2026-08-04,香菜柠檬茶,Cilantro Lemon Tea,16,3
2026-08-04,手冲瑰夏,Pour-over Geisha,68,1
2026-08-05,珍珠奶茶,Pearl Milk Tea,15,12
2026-08-05,杨枝甘露,Mango Pomelo Sago,22,8
2026-08-05,芝士葡萄,Cheese Grape,24,7
2026-08-05,黑糖波波,Brown Sugar Boba,18,11
2026-08-05,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,6
2026-08-05,香菜柠檬茶,Cilantro Lemon Tea,16,3
2026-08-05,手冲瑰夏,Pour-over Geisha,68,1
2026-08-06,珍珠奶茶,Pearl Milk Tea,15,12
2026-08-06,杨枝甘露,Mango Pomelo Sago,22,9
2026-08-06,芝士葡萄,Cheese Grape,24,6
2026-08-06,黑糖波波,Brown Sugar Boba,18,9
2026-08-06,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,5
2026-08-06,香菜柠檬茶,Cilantro Lemon Tea,16,3
2026-08-06,手冲瑰夏,Pour-over Geisha,68,1
2026-08-07,珍珠奶茶,Pearl Milk Tea,15,12
2026-08-07,杨枝甘露,Mango Pomelo Sago,22,9
2026-08-07,芝士葡萄,Cheese Grape,24,7
2026-08-07,黑糖波波,Brown Sugar Boba,18,10
2026-08-07,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,6
2026-08-07,香菜柠檬茶,Cilantro Lemon Tea,16,3
2026-08-07,手冲瑰夏,Pour-over Geisha,68,1
2026-08-08,珍珠奶茶,Pearl Milk Tea,15,17
2026-08-08,杨枝甘露,Mango Pomelo Sago,22,12
2026-08-08,芝士葡萄,Cheese Grape,24,9
2026-08-08,黑糖波波,Brown Sugar Boba,18,13
2026-08-08,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,8
2026-08-08,香菜柠檬茶,Cilantro Lemon Tea,16,4
2026-08-08,手冲瑰夏,Pour-over Geisha,68,1
2026-08-09,珍珠奶茶,Pearl Milk Tea,15,20
2026-08-09,杨枝甘露,Mango Pomelo Sago,22,12
2026-08-09,芝士葡萄,Cheese Grape,24,9
2026-08-09,黑糖波波,Brown Sugar Boba,18,14
2026-08-09,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,8
2026-08-09,香菜柠檬茶,Cilantro Lemon Tea,16,5
